Timestamp,year,TOT_PREP(mm),Total Inrrad,Tatal PFD,Total Global Rad,Global Ref,Std Global Rad,Std Ref Rad,Max Wind_S,Time,AirTC_Max,Time,RH_Max,Time,min Wind_s,Time,AirTC_Min,Time,RH_Min,Tmin RH,MWind Seep,MWind deg.,Std m deg,Std Wind_S,0-45,45-90,90-135,135-180,180-225,225-270,270-315,315-360,Volt,Comentarios
1/1/2018,2018,10.4,4479.7,21580,396.3,55.36,138.9,19.54,5.554,1206,24.77,1132,0.439,1340,0,0,21.31,1222,0.126,637,0.649,47.63,16.78,0.94,0.265,0.358,0.015,0.01,0,0,0,0,12.58,
1/2/2018,2018,0,12470,56479,1074,150.7,310.5,42.25,4.755,1333,25.85,1629,0.439,1542,0,2,20.83,500,0.153,1822,0.744,40.67,10.45,0.908,0.297,0.439,0.005,0.003,0,0,0,0,12.56,
1/3/2018,2018,0,7985.4,37490,678.5,97.8,236.8,33.31,6.673,2246,26.53,1235,0.485,1325,0,0,21,523,0.146,526,0.277,17.03,21.51,0.621,0.22,0.013,0.03,0.013,0,0,0,0,12.58,
1/4/2018,2018,0,6586.5,31718,548.3,79.5,200.9,28.11,6.034,1054,26.33,1143,0.485,1449,0,0,21.3,706,0.14,2231,0.533,51.43,23.14,0.902,0.256,0.072,0.193,0.012,0,0,0,0,12.57,
1/5/2018,2018,10.4,6875.9,32390,608.5,81.4,221.6,28.92,6.034,1408,25.33,1332,0.459,1655,0,0,21.64,640,0.14,2045,0.285,41.06,26.87,0.632,0.169,0.029,0.057,0.029,0,0,0,0,12.57,
1/6/2018,2018,0.5,7476.5,36204,674.4,93.8,231.2,31.9,5.714,1935,26.63,1444,0.459,1331,0,0,21.39,221,0.133,759,0.458,21.9,25.42,0.81,0.36,0.022,0.031,0.045,0,0,0,0,12.57,
1/7/2018,2018,4.4,3343.6,26495,494.5,69.62,166.6,23.67,5.874,2343,25.83,1454,0.459,1517,0,0,20.49,123,0.133,10,0.428,69.03,31.57,0.791,0.198,0.076,0.071,0.084,0,0,0,0,12.57,
1/8/2018,2018,5.8,1441.3,32282,594.1,86.9,189.3,27.57,6.034,854,25.59,1533,0.459,1405,0,0,20.18,2326,0.16,1853,0.703,24.65,19.2,1.014,0.541,0.122,0.025,0.015,0,0,0,0,12.57,
1/9/2018,2018,2.6,3419.9,41311,761,105.2,255.4,35.24,7.15,51,25.79,1434,0.499,1338,0,0,19.84,131,0.12,634,0.638,26.28,21.41,0.938,0.483,0.107,0.023,0.024,0,0,0,0,12.58,
1/10/2018,2018,2.9,1127.5,20275,375,53.27,134.2,19.38,5.395,1136,24.75,1305,0.392,1123,0,0,21.32,530,0.12,100,0.556,31.35,22.14,0.867,0.404,0.107,0.023,0.022,0,0,0,0,12.58,
