TIMESTAMP,RECORD,Rain_mm_Tot,PanLevel,AirTC_Avg,RH,T107_C_Avg Water ,PTemp_C,AirTC_Max,AirTC_TMx,RH_Max,RH_TMx,T107_C_Max,T107_C_TMx,WS_ms_Max,WS_ms_TMx,AirTC_Min,AirTC_TMn,RH_Min,RH_TMn,T107_C_Min,T107_C_TMn,WS_ms_Min,WS_ms_TMn,SlrkW_2_Avg,SlrMJ_2_Tot,PAR_Den_Avg,PAR_Tot_Tot,BP_mmHg,AirTC_Std,T107_C_Std,SlrkW_2_Std,PAR_Den_Std,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Std,WindDir_Hst(1),WindDir_Hst(2),WindDir_Hst(3),WindDir_Hst(4),WindDir_Hst(5),WindDir_Hst(6),WindDir_Hst(7),WindDir_Hst(8),BattV,
TS,RN,mm,inches,Deg C,%,Deg C,Deg C,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,kW/m^2,MJ/m^2,umol/s/m^2,mmol/m^2,mmHg,Deg C,Deg C,kW/m^2,umol/s/m^2,meters/second,Deg,Deg,meters/second,degrees,degrees,degrees,degrees,degrees,degrees,degrees,degrees,Volts,
,,Tot,Smp,Avg,Smp,Avg,Smp,Max,TMx,Max,TMx,Max,TMx,Max,TMx,Min,TMn,Min,TMn,Min,TMn,Min,TMn,Avg,Tot,Avg,Tot,Smp,Std,Std,Std,Std,WVc,WVc,WVc,Std,"Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02",Smp,COMENTARIO
1/12/2016 0:00,734,0.5,1.724,22.22,100,NAN,20.4,28.76,1/12/2016 13:45,100,1/12/2016 0:00,NAN,1/12/2016 9:28,2.437,1/12/2016 13:33,18.71,1/12/2016 6:08,66.99,1/12/2016 11:30,NAN,1/12/2016 9:28,0,1/12/2016 10:00,59.79,0.5132301,177.7,15347.57,764,3.065,NAN,116.3,350.5,0.337,147,40.82,0.273,0.006,0.004,0.09,0.148,0.042,0.013,0.02,0.013,12.13,
1/13/2016 0:00,735,0.5,1.72,22.18,100,29.61,18.71,28.38,1/13/2016 11:32,100,1/13/2016 0:00,32.69,1/13/2016 0:10,2.836,1/13/2016 10:05,18.58,1/13/2016 23:24,55.55,1/13/2016 13:49,25.5,1/13/2016 23:57,0,1/13/2016 0:00,82.4,0.7073908,188.8,16313.07,764.1,3.232,2.154,143.3,392.6,0.363,164.1,40.82,0.405,0.014,0.012,0.041,0.151,0.073,0.024,0.029,0.019,12.11,
1/14/2016 0:00,736,0.4,1.722,21.56,100,25.06,19.86,27.74,1/14/2016 14:19,100,1/14/2016 0:00,28.09,1/14/2016 14:43,2.277,1/14/2016 11:17,17.76,1/14/2016 7:13,65.33,1/14/2016 12:35,22.92,1/14/2016 7:21,0,1/14/2016 0:00,53.78,0.4615725,163.2,14101.42,764.3,3.2,1.511,100,299,0.273,167,36.98,0.36,0.006,0.006,0.026,0.123,0.057,0.015,0.024,0.016,12.12,
1/15/2016 0:00,737,1.2,1.726,22.18,100,NAN,21.64,28.72,1/15/2016 14:03,100,1/15/2016 0:00,NAN,1/15/2016 15:08,2.916,1/15/2016 12:21,18.05,1/15/2016 5:34,56.78,1/15/2016 14:34,NAN,1/15/2016 15:08,0,1/15/2016 0:00,84.3,0.7237526,224.3,19378.73,762.7,3.408,NAN,145.5,428.2,0.37,164,40.18,0.393,0.017,0.016,0.047,0.16,0.075,0.025,0.02,0.01,12.12,
1/16/2016 0:00,738,6.7,1.724,22.63,100,32.29,19.92,26.3,1/16/2016 14:14,100,1/16/2016 0:00,36.06,1/16/2016 14:16,1.638,1/16/2016 11:57,19.92,1/16/2016 23:59,78.33,1/16/2016 15:25,28.21,1/16/2016 23:59,0,1/16/2016 0:00,40.09,0.3440825,143.8,12421.66,763.1,1.811,2.05,60.94,213.2,0.184,171.5,33.34,0.261,0.004,0.004,0.024,0.078,0.045,0.012,0.012,0.004,12.12,
1/17/2016 0:00,739,1.7,1.726,22.45,100,28.25,20.77,28.6,1/17/2016 13:39,100,1/17/2016 0:00,31.7,1/17/2016 13:41,2.357,1/17/2016 12:30,19.3,1/17/2016 3:18,62.48,1/17/2016 13:33,25.47,1/17/2016 6:09,0,1/17/2016 0:13,46.5,0.3991641,149,12874.25,763.4,2.542,2.01,86.7,267.7,0.245,158.1,38.13,0.321,0.012,0.011,0.039,0.1,0.041,0.015,0.015,0.011,12.13,
1/18/2016 0:00,740,1.3,1.726,22.6,100,28.08,20.37,28.28,1/18/2016 14:18,100,1/18/2016 0:00,31.17,1/18/2016 14:18,2.757,1/18/2016 14:58,20,1/18/2016 4:47,72.52,1/18/2016 14:19,26.42,1/18/2016 5:35,0,1/18/2016 0:00,41.66,0.3575862,135.4,11699.5,764.8,2.346,1.34,82.8,263.1,0.178,165.5,37.24,0.32,0.008,0.003,0.027,0.06,0.033,0.012,0.021,0.013,12.13,
1/19/2016 0:00,741,5.7,1.729,22.69,100,27.98,21.64,27.01,1/19/2016 12:36,100,1/19/2016 0:00,30.29,1/19/2016 14:20,1.958,1/19/2016 12:19,20.02,1/19/2016 0:44,80.1,1/19/2016 12:56,26.32,1/19/2016 6:50,0,1/19/2016 1:12,38.96,0.3344121,141.3,12208.07,764.2,1.79,1.326,76.53,269.2,0.165,157.2,37.88,0.279,0.013,0.008,0.031,0.056,0.024,0.009,0.016,0.009,12.14,
1/20/2016 0:00,742,2,1.722,22.76,100,28.24,19.49,29.1,1/20/2016 13:30,100,1/20/2016 0:00,31.95,1/20/2016 14:30,2.836,1/20/2016 14:50,19.18,1/20/2016 23:56,65.78,1/20/2016 13:37,26.15,1/20/2016 7:45,0,1/20/2016 0:00,63.14,0.5419891,209.7,18113.07,764.7,2.805,1.741,126.3,414.8,0.208,174.9,45.53,0.361,0.012,0.006,0.021,0.061,0.036,0.015,0.028,0.028,12.12,
1/21/2016 0:00,743,9.3,1.726,22.38,100,26.61,20.99,29.67,1/21/2016 13:52,100,1/21/2016 0:00,30.85,1/21/2016 14:29,2.277,1/21/2016 11:58,18.75,1/21/2016 2:56,62.03,1/21/2016 13:49,24.55,1/21/2016 7:29,0,1/21/2016 0:00,70.68,0.6066292,243.3,21020.05,764.5,3.134,1.804,142,479.4,0.326,156.6,35.42,0.354,0.012,0.015,0.047,0.157,0.061,0.016,0.011,0.007,12.12,
