Timestamp,year,TOT_PREP(mm),Total Inrrad,Tatal PFD,Total Global Rad,Global Ref,Std Global Rad,Std Ref Rad,Max Wind_S,Time,AirTC_Max,Time,RH_Max,Time,min Wind_s,Time,AirTC_Min,Time,RH_Min,Tmin RH,MWind Seep,MWind deg.,Std m deg,Std Wind_S,0-45,45-90,90-135,135-180,180-225,225-270,270-315,315-360,Volt,Comentarios,
1/24/2016,2016,2.7,2146.5,4667.3,463.9,41.18,161.8,11.73,6.513,1357,24.6,1231,90,842,0,0,21.54,1403,71.4,1427,1.016,70.2,15.42,0.761,0.274,0.386,0.356,0,0,0,0,0,12.35,,
1/25/2016,2016,2,2513.5,5509.4,546,45.19,194.5,12.96,4.915,1303,24.8,1124,91.8,310,0,0,20.75,1735,64.41,1834,0.946,17.23,23.43,0.737,0.331,0.218,0.017,0,0,0,0.076,0.305,12.33,,
1/26/2016,2016,5.3,2468.9,5376.8,539.4,45.72,190.4,13.06,5.554,1946,25.14,1211,90,2350,0,2,20.55,209,67.43,1218,1.221,318.7,25.6,0.746,0.183,0.004,0.012,0,0,0.01,0.677,0.334,12.33,,
1/27/2016,2016,0,1703.8,3708,380.9,37.46,121.5,9.29,6.513,1311,24.42,1129,90.6,27,0,2,20.53,312,68.77,1022,1.22,339,32.46,0.825,0.204,0.125,0.112,0.004,0,0.261,0.243,0.27,12.34,,
1/28/2016,2016,0.4,2759.2,5997,621.3,48.04,224,15,7.15,1000,26.94,1416,90.2,721,0,7,20.73,621,57.61,1419,1.109,118.4,60.8,0.862,0.075,0.188,0.186,0.127,0.141,0.19,0.157,0.046,12.34,,
1/29/2016,2016,0,4464,9705.9,1011,71,301.8,19.57,5.075,1208,27.34,1433,87.9,43,0,0,20.73,625,51.48,1429,0.993,120.9,51.97,0.76,0.112,0.105,0.26,0.273,0.068,0.044,0.058,0.072,12.33,,
1/30/2016,2016,1.4,3181.5,7166.9,720,50.47,225,14.44,4.755,1504,26.38,1523,91.6,516,0,0,20.46,259,62.63,1334,0.742,99.7,57.36,0.629,0.132,0.069,0.067,0.109,0.139,0.065,0.087,0.075,12.33,,
1/31/2016,2016,0.6,4201.3,9344.9,920,67.12,304.7,19.13,5.714,1123,27.15,1319,87.4,248,0,0,20.74,2239,54.48,1235,1.154,333.5,52.89,0.809,0.206,0.068,0.062,0.152,0.157,0.111,0.199,0.2,12.33,,
2/1/2016,2016,1,3062.2,6894.7,690.5,51.57,249.1,15.48,4.915,940,26.03,1411,90.1,1001,0,1,20.72,2358,62.91,1412,0.7,110.7,45.88,0.612,0.06,0.128,0.245,0.175,0.038,0.023,0.017,0.014,12.33,,
2/2/2016,2016,0,3214.8,7199.3,1257,85.8,340,19.32,4.276,1356,26.78,1434,79.4,2117,0,953,21.56,1934,55.85,1434,0.432,46.49,41.9,0.605,0.104,0.055,0.066,0.05,0.019,0.016,0.039,0.085,12.33,,
2/3/2016,2016,0.8,2770.8,5989.5,614.1,49.49,212.1,14.6,6.513,1506,24.14,1459,85.8,639,0,0,20.51,637,61.75,1405,1.194,328.3,29.15,1.149,0.127,0.01,0.002,0.004,0.011,0.019,0.28,0.742,12.34,,
2/4/2016,2016,0.8,3542.6,7793.8,806,62.9,264.6,18.16,8.43,1122,23.67,1054,88.3,112,0,6,18.99,102,55.54,1426,2.04,320.6,31.98,1.422,0.192,0.015,0.005,0.006,0.029,0.075,0.491,1.226,12.34,,
2/5/2016,2016,4,2421.4,5404.4,514.1,43.84,185.8,11.77,4.596,1712,25.1,1130,89.4,1411,0,3,19.71,333,58.91,1025,0.765,215.9,32.37,0.768,0.011,0.017,0.018,0.217,0.203,0.16,0.102,0.037,12.35,,
2/6/2016,2016,0.1,4455.2,10040,979,66.53,311.4,20.12,6.833,1648,27.23,1304,83.8,2019,0,9,20.42,526,58.02,1304,0.885,227.9,48.29,0.978,0.034,0.02,0.026,0.128,0.358,0.103,0.12,0.097,12.34,,
2/7/2016,2016,6.9,2390.4,5318.8,551.5,46.53,170.2,12.32,6.353,1553,26.49,1526,93.7,752,0,0,20.44,509,62.36,1527,0.536,282.5,46.44,0.739,0.035,0.022,0.02,0.029,0.084,0.088,0.154,0.104,12.34,,
2/8/2016,2016,0,4966.8,11647,1145,78.9,327.9,19.78,6.833,1507,28.24,1418,88,51,0,0,20.94,436,55.87,1531,0.656,280.9,50.48,0.834,0.04,0.023,0.031,0.07,0.134,0.083,0.126,0.149,12.33,,
2/9/2016,2016,0.1,4112.9,9526.4,928,65.13,296.8,19.54,5.235,1216,27.98,1403,90.3,516,0,0,21.4,548,58.93,1404,0.572,303.4,37.95,0.822,0.073,0.022,0.01,0.011,0.026,0.075,0.216,0.14,12.34,,
2/10/2016,2016,0.7,3119.9,7355,721,52.94,247.4,16.41,4.596,1318,27.31,1354,94.2,640,0,1,21.36,2338,62.76,1400,0.37,292.5,34.77,0.605,0.028,0.015,0.007,0.008,0.027,0.066,0.141,0.078,12.34,,
2/11/2016,2016,0,4245.2,10127,977,69.56,318.8,20.48,4.915,1223,27.37,1529,86.7,1,0,1,20.52,650,53.37,1524,0.579,79.7,39.99,0.736,0.107,0.064,0.103,0.095,0.036,0.024,0.055,0.096,12.34,,
