TIMESTAMP,RECORD,Rain_mm_Tot,PanLevel,AirTC_Avg,RH,T107_C_Avg,PTemp_C,AirTC_Max,AirTC_TMx,RH_Max,RH_TMx,T107_C_Max,T107_C_TMx,WS_ms_Max,WS_ms_TMx,AirTC_Min,AirTC_TMn,RH_Min,RH_TMn,T107_C_Min,T107_C_TMn,WS_ms_Min,WS_ms_TMn,SlrkW_2_Avg,SlrMJ_2_Tot,PAR_Den_Avg,PAR_Tot_Tot,BP_mmHg,AirTC_Std,T107_C_Std,SlrkW_2_Std,PAR_Den_Std,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Std,WindDir_Hst(1),WindDir_Hst(2),WindDir_Hst(3),WindDir_Hst(4),WindDir_Hst(5),WindDir_Hst(6),WindDir_Hst(7),WindDir_Hst(8),BattV
TS,RN,mm,inches,Deg C,%,Deg C,Deg C,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,kW/m^2,MJ/m^2,umol/s/m^2,mmol/m^2,mmHg,Deg C,Deg C,kW/m^2,umol/s/m^2,meters/second,Deg,Deg,meters/second,degrees,degrees,degrees,degrees,degrees,degrees,degrees,degrees,Volts
,,Tot,Smp,Avg,Smp,Avg,Smp,Max,TMx,Max,TMx,Max,TMx,Max,TMx,Min,TMn,Min,TMn,Min,TMn,Min,TMn,Avg,Tot,Avg,Tot,Smp,Std,Std,Std,Std,WVc,WVc,WVc,Std,"Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02",Smp
5/11/2018 0:00,56,0,24.53,24.53,89.9,22.33,27.38,5/11/2018 12:58,96.4,5/11/2018 5:44,27.82,5/11/2018 14:00,9.93,5/11/2018 11:11,21.74,5/11/2018 5:40,63.29,5/11/2018 13:12,21.69,5/11/2018 5:14,0,5/11/2018 1:29,0.222,9.581583,411.9,35582.74,774.1,1.576,1.828,0.322,591.4,1.802,141.1,27.47,1.618,0,0.043,0.72,0.969,0.058,0.007,0.004,0.001,12.65,
5/12/2018 0:00,57,0,24.99,25.11,81.6,24.66,28.16,5/12/2018 14:51,96.3,5/12/2018 8:42,28.51,5/12/2018 14:51,8.6,5/12/2018 12:03,21.93,5/12/2018 0:42,54.03,5/12/2018 14:51,21.56,5/12/2018 0:39,0,5/12/2018 0:00,0.226,9.747524,419.5,36238.98,773.7,1.526,1.695,0.316,587,2.033,133.1,33.06,1.509,0.007,0.094,0.921,0.935,0.05,0.016,0.009,0.001,12.67,
5/13/2018 0:00,58,0,25.65,25.84,85.6,24.51,28.17,5/13/2018 13:02,85.9,5/13/2018 5:51,28.53,5/13/2018 13:02,8.24,5/13/2018 10:45,23.74,5/13/2018 6:23,62,5/13/2018 10:33,23.68,5/13/2018 5:55,0,5/13/2018 4:09,0.257,11.09216,471.7,40745.57,773.8,1.129,1.223,0.346,632.7,2.456,136.3,25,1.413,0,0.065,1.073,1.243,0.071,0.003,0,0,12.66,
5/14/2018 0:00,59,0,25.41,25.61,98.4,22.25,27.89,5/14/2018 13:07,98.5,5/14/2018 23:54,28.3,5/14/2018 13:07,8.89,5/14/2018 12:23,21.72,5/14/2018 22:07,67.16,5/14/2018 15:37,21.84,5/14/2018 22:07,0,5/14/2018 0:46,0.238,10.29363,439.6,37969.89,773.5,1.534,1.627,0.326,595.6,2.45,142.9,39.21,1.557,0.005,0.065,0.92,1.288,0.094,0.031,0.042,0.006,12.64,
5/15/2018 0:00,60,0,24.67,24.74,86.1,22.7,26.67,5/15/2018 14:46,89.4,5/15/2018 20:35,26.98,5/15/2018 14:41,7.115,5/15/2018 16:28,22.51,5/15/2018 20:31,61,5/15/2018 16:59,22.41,5/15/2018 20:34,0,5/15/2018 14:05,0.07,0.2494156,256.7,4582.701,774.1,1.225,1.413,0.1,365.3,1.765,145.8,24.32,1.263,0,0.023,0.468,1.191,0.078,0.004,0,0,12.67,
5/16/2018 0:00,61,0,24.53,24.55,82.9,23.72,27.37,5/16/2018 13:34,95.3,5/16/2018 3:49,27.82,5/16/2018 13:34,8.62,5/16/2018 13:03,21.3,5/16/2018 3:46,59.77,5/16/2018 11:51,20.89,5/16/2018 4:44,0,5/16/2018 0:01,0.104,0.8956662,372.7,16099.53,773.6,1.584,1.884,0.157,557,2.092,138.9,28.67,1.637,0.002,0.122,0.84,1.056,0.068,0.004,0,0,12.67,
5/17/2018 0:00,62,0,25.03,25.22,80.5,24.39,27.09,5/17/2018 13:47,90.4,5/17/2018 7:03,27.48,5/17/2018 13:42,9.04,5/17/2018 13:01,22.64,5/17/2018 6:52,62.98,5/17/2018 13:31,22.64,5/17/2018 5:12,0,5/17/2018 1:12,0.099,0.8539795,354.8,15327.57,773.3,1.175,1.261,0.149,526.7,2.519,135.8,26.7,1.535,0.004,0.091,0.998,1.345,0.079,0.001,0,0,12.68,
5/18/2018 0:00,63,0,24.49,24.66,82.9,23.99,26.95,5/18/2018 10:28,96.1,5/18/2018 12:05,27.51,5/18/2018 10:28,8.87,5/18/2018 10:40,21.76,5/18/2018 11:48,67.47,5/18/2018 10:02,21.9,5/18/2018 11:47,0,5/18/2018 0:41,0.077,0.6585999,275.1,11885.17,773.3,0.964,1.019,0.119,426.4,2.258,129.5,32.16,1.36,0.009,0.221,1.057,0.897,0.069,0.004,0.001,0,12.68,
5/19/2018 0:00,64,0,24.87,25.04,86.8,23.38,27.46,5/19/2018 13:53,93.3,5/19/2018 17:54,27.91,5/19/2018 14:51,9.45,5/19/2018 12:19,23.17,5/19/2018 17:53,68.16,5/19/2018 14:09,23.16,5/19/2018 1:58,0,5/19/2018 1:25,0.089,0.7648861,318.5,13760.2,773.6,0.996,1.085,0.142,509.6,2.258,127.5,28.42,1.292,0.008,0.209,1.115,0.886,0.038,0.001,0,0,12.67,
5/20/2018 0:00,65,0,24.84,25.01,85.7,24.13,26.98,5/20/2018 10:04,92.5,5/20/2018 14:09,27.43,5/20/2018 10:03,7.899,5/20/2018 10:13,22.7,5/20/2018 3:59,70.04,5/20/2018 10:33,22.54,5/20/2018 3:59,0,5/20/2018 3:28,0.077,0.6642924,273.9,11831.21,772.9,0.828,0.915,0.124,433.1,2.247,117.4,28.84,1.286,0.014,0.406,1.245,0.561,0.02,0.001,0,0,12.68,
5/21/2018 0:00,66,0,24.68,24.84,95.5,23.18,27.04,5/21/2018 15:03,98.4,5/21/2018 6:05,27.52,5/21/2018 10:01,9.55,5/21/2018 4:48,21.62,5/21/2018 5:59,67.5,5/21/2018 15:32,21.72,5/21/2018 5:58,0,5/21/2018 1:51,0.094,0.809288,334.1,14431.98,773,1.451,1.538,0.138,488.3,1.604,118.2,42.67,1.248,0.042,0.29,0.821,0.398,0.022,0.013,0.016,0.002,12.66,
5/22/2018 0:00,67,0,24.25,24.37,97.2,22.22,27.45,5/22/2018 10:16,99.2,5/22/2018 5:38,27.91,5/22/2018 15:04,8.53,5/22/2018 18:55,22.09,5/22/2018 5:35,71.84,5/22/2018 10:21,22.07,5/22/2018 5:35,0,5/22/2018 0:00,0.084,0.7238749,298.4,12891.92,773.8,1.617,1.741,0.131,460.9,1.401,136.1,53.64,1.325,0.058,0.185,0.536,0.507,0.046,0.049,0.018,0.002,12.66,
5/23/2018 0:00,68,0,24.73,24.81,89.4,23.84,27.45,5/23/2018 12:47,100,5/23/2018 5:08,27.81,5/23/2018 12:47,6.929,5/23/2018 10:39,21.24,5/23/2018 4:39,67.69,5/23/2018 12:31,21.19,5/23/2018 4:45,0,5/23/2018 0:00,0.083,0.7164983,289.8,12520.42,774.5,1.925,2.097,0.115,398.4,1.591,138.1,32.32,1.352,0.002,0.077,0.616,0.843,0.036,0.004,0.011,0.001,12.68,
5/24/2018 0:00,69,0,25.55,25.69,86.5,24.57,28.2,5/24/2018 13:02,94.4,5/24/2018 4:09,28.45,5/24/2018 13:02,7.673,5/24/2018 10:40,23.27,5/24/2018 4:09,62.42,5/24/2018 14:05,23.12,5/24/2018 4:08,0,5/24/2018 0:21,0.125,1.069953,448.9,19394.41,774,1.318,1.48,0.167,603.2,1.972,136.3,24.57,1.477,0.002,0.053,0.877,0.996,0.042,0.001,0,0,12.67,
5/25/2018 0:00,70,0,25.53,25.68,85.8,24.19,28.14,5/25/2018 11:36,96.7,5/25/2018 2:44,28.54,5/25/2018 15:22,7.83,5/25/2018 13:23,23.01,5/25/2018 2:47,68.73,5/25/2018 11:38,23.07,5/25/2018 2:34,0,5/25/2018 0:27,0.119,1.023557,433.5,18725.55,773.2,1.367,1.503,0.164,595.4,1.964,136.8,28.94,1.479,0.001,0.087,0.879,0.938,0.05,0.005,0.004,0.001,12.67,
5/26/2018 0:00,71,0,25.1,25.21,94.1,22.92,28.24,5/26/2018 13:29,98.3,5/26/2018 5:25,28.64,5/26/2018 13:29,8.03,5/26/2018 13:35,22.37,5/26/2018 5:22,55.83,5/26/2018 15:56,22.34,5/26/2018 5:21,0,5/26/2018 0:05,0.13,1.119875,476.2,20569.99,772.8,1.885,2.073,0.17,618.5,1.685,144,37.15,1.638,0.001,0.052,0.792,0.751,0.042,0.029,0.018,0.001,12.66,
5/27/2018 0:00,72,0,24.97,25.05,92,23.5,28.1,5/27/2018 13:35,99.4,5/27/2018 4:39,28.38,5/27/2018 13:34,7.526,5/27/2018 23:54,22.31,5/27/2018 2:55,75.87,5/27/2018 13:26,22.26,5/27/2018 2:47,0,5/27/2018 0:00,0.08,0.6902538,291.8,12607.73,773.3,1.929,2.057,0.117,422.8,1.219,142.3,57.35,1.331,0.006,0.218,0.51,0.356,0.041,0.036,0.051,0.001,12.67,
5/28/2018 0:00,73,0,25.76,25.93,88.3,24.72,28.15,5/28/2018 14:46,96,5/28/2018 2:45,28.51,5/28/2018 15:06,8.01,5/28/2018 15:20,24.03,5/28/2018 0:49,69.89,5/28/2018 14:46,24.08,5/28/2018 1:26,0,5/28/2018 0:01,0.102,0.8794999,366.3,15823.72,774,1.08,1.182,0.143,511.5,2.266,140.1,28.64,1.534,0.001,0.046,0.88,1.252,0.077,0.006,0.003,0,12.67,
5/29/2018 0:00,74,0,25.71,25.87,86.4,24.45,28.14,5/29/2018 13:16,95.5,5/29/2018 5:53,28.55,5/29/2018 14:48,9.05,5/29/2018 15:13,22.51,5/29/2018 5:52,67.96,5/29/2018 13:10,22.22,5/29/2018 6:06,0,5/29/2018 0:31,0.112,0.9593117,402,17364.27,773.8,1.344,1.524,0.159,570.8,2.042,138.2,27.41,1.481,0.003,0.114,0.8,1.055,0.065,0.004,0,0,12.67,
5/30/2018 0:00,75,0,25.67,25.86,86,24.98,28.22,5/30/2018 14:20,98.5,5/30/2018 5:09,28.65,5/30/2018 14:20,8.52,5/30/2018 12:19,22.41,5/30/2018 3:53,70.35,5/30/2018 14:15,22.54,5/30/2018 4:05,0,5/30/2018 0:09,0.121,1.041348,442.2,19101.96,772.5,1.491,1.622,0.168,610.8,2.029,136,31.68,1.502,0.003,0.076,0.911,0.968,0.048,0.015,0.009,0.001,12.68,
5/31/2018 0:00,76,0,25.22,25.34,97.7,22.22,28.06,5/31/2018 15:53,98.6,5/31/2018 5:59,28.65,5/31/2018 15:53,7.281,5/31/2018 13:23,22.11,5/31/2018 5:58,65.94,5/31/2018 15:35,22.16,5/31/2018 5:58,0,5/31/2018 0:22,0.108,0.930031,393.8,17013.86,772.5,1.718,1.87,0.154,555.3,1.523,141.3,37.46,1.34,0.001,0.073,0.569,0.807,0.038,0.01,0.024,0,12.66,
6/1/2018 0:00,77,0,25.35,25.49,96.5,24.07,28.8,6/1/2018 14:40,99.9,6/1/2018 5:51,29.26,6/1/2018 15:14,6.87,6/1/2018 11:17,21.58,6/1/2018 6:11,52.26,6/1/2018 13:59,21.43,6/1/2018 5:49,0,6/1/2018 0:00,0.129,1.107362,470.1,20309.38,772.3,2.3,2.452,0.169,616.6,1.691,144.7,43.93,1.588,0.001,0.058,0.736,0.795,0.046,0.027,0.029,0,12.68,
6/2/2018 0:00,78,0,25.84,25.94,88.2,24.51,28.72,6/2/2018 13:29,98.7,6/2/2018 5:21,29,6/2/2018 13:28,7.125,6/2/2018 10:06,23.49,6/2/2018 0:10,72.3,6/2/2018 13:31,23.55,6/2/2018 0:55,0,6/2/2018 0:05,0.073,0.6271071,251.8,10877.76,773.4,1.511,1.607,0.107,376.6,1.318,150.7,45.93,1.214,0.009,0.029,0.376,0.74,0.099,0.034,0.027,0.003,12.68,
6/3/2018 0:00,79,0,26.24,26.35,94.2,23.24,29.16,6/3/2018 13:18,94.4,6/3/2018 23:58,29.51,6/3/2018 13:17,7.242,6/3/2018 14:51,23.51,6/3/2018 23:59,63.25,6/3/2018 14:50,23.34,6/4/2018 0:00,0,6/3/2018 0:11,0.105,0.9003395,375.2,16210.4,774,1.502,1.63,0.146,519.1,1.763,147.1,36.58,1.404,0.001,0.042,0.572,1.021,0.095,0.019,0.01,0.002,12.66,
6/4/2018 0:00,80,0,25.62,25.69,95.2,22.22,29.56,6/4/2018 13:54,98.6,6/4/2018 2:32,30.05,6/4/2018 13:54,6.889,6/4/2018 16:59,22.16,6/4/2018 3:36,47.88,6/4/2018 13:41,22.09,6/4/2018 3:34,0,6/4/2018 0:00,0.129,1.104332,463.7,20033.87,773.4,2.232,2.428,0.161,580.5,1.435,147.4,44.1,1.428,0.002,0.05,0.457,0.798,0.074,0.026,0.026,0.002,12.66,
6/5/2018 0:00,81,0,25.84,25.93,86.9,25.01,28.59,6/5/2018 13:38,95.3,6/5/2018 0:01,28.89,6/5/2018 14:04,7.673,6/5/2018 12:11,22.61,6/5/2018 0:00,60.21,6/5/2018 10:22,22.55,6/5/2018 0:00,0,6/5/2018 0:00,0.114,0.9824708,411.9,17795.68,773.3,1.602,1.789,0.159,565.3,1.54,140.4,41.03,1.429,0.004,0.053,0.532,0.851,0.068,0.012,0.016,0.004,12.68,
6/6/2018 0:00,82,0,26.11,26.25,95.2,24.22,28.29,6/6/2018 14:28,96.8,6/6/2018 22:13,28.68,6/6/2018 14:30,7.095,6/6/2018 14:38,23.77,6/6/2018 22:07,74.4,6/6/2018 10:41,23.81,6/6/2018 22:19,0,6/6/2018 0:01,0.071,0.6070421,246.5,10648.4,773.3,1.218,1.316,0.097,336.5,1.698,138.4,28.23,1.35,0.001,0.049,0.667,0.925,0.049,0.004,0.003,0.001,12.67,
6/7/2018 0:00,83,0,26.65,26.81,86.8,25.49,29.6,6/7/2018 13:50,95.4,6/7/2018 0:01,30,6/7/2018 13:50,7.801,6/7/2018 10:07,24.32,6/7/2018 2:42,58.9,6/7/2018 13:57,24.23,6/7/2018 1:43,0,6/7/2018 0:44,0.112,0.9620103,391.3,16905.48,773.9,1.391,1.519,0.153,531.4,2.074,137.3,24.44,1.321,0.001,0.071,0.856,1.087,0.057,0.002,0,0,12.67,
6/8/2018 0:00,84,0,25.15,25.27,97.3,22.06,28.67,6/8/2018 11:31,98.7,6/8/2018 23:16,29,6/8/2018 11:30,8.06,6/8/2018 12:22,22.25,6/9/2018 0:00,62.96,6/8/2018 11:42,22.23,6/8/2018 23:59,0,6/8/2018 1:30,0.091,0.7825257,313.7,13551.18,774.5,1.774,1.874,0.138,474.1,1.462,144.6,41.48,1.446,0.009,0.126,0.54,0.675,0.049,0.03,0.031,0.001,12.66,
6/9/2018 0:00,85,0,24.76,24.8,87.1,23.18,28.58,6/9/2018 11:55,99.6,6/9/2018 2:55,29.03,6/9/2018 11:55,7.35,6/9/2018 14:03,21.39,6/9/2018 2:18,68.88,6/9/2018 10:44,21.37,6/9/2018 2:44,0,6/9/2018 0:00,0.093,0.8000354,321.7,13896.91,774.1,1.866,2.049,0.143,490.2,1.546,133.5,37.77,1.366,0.009,0.16,0.654,0.664,0.032,0.016,0.008,0.002,12.66,
6/10/2018 0:00,86,0,25.66,25.83,91,24.66,28.67,6/10/2018 14:22,99.6,6/10/2018 3:42,29.15,6/10/2018 14:22,8.22,6/10/2018 0:28,22.14,6/10/2018 1:19,61.02,6/10/2018 14:18,22.3,6/10/2018 1:20,0,6/10/2018 0:13,0.121,1.035247,428.2,18499.38,774,1.925,2.053,0.164,580.4,2.079,144.3,39.81,1.556,0.004,0.046,0.709,1.186,0.072,0.039,0.019,0.003,12.67,
6/11/2018 0:00,87,0,26.37,26.58,91.9,24.13,28.84,6/11/2018 12:48,95.7,6/11/2018 23:24,29.33,6/11/2018 12:48,9.81,6/11/2018 11:03,23.91,6/11/2018 23:21,68.44,6/11/2018 12:50,24.02,6/11/2018 23:24,0,6/11/2018 0:07,0.111,0.9487006,393.2,16986.65,774,1.123,1.213,0.155,546.5,2.563,136.1,24.74,1.627,0.001,0.063,1.159,1.281,0.057,0.002,0,0,12.68,
6/12/2018 0:00,88,0,26.43,26.61,86.3,25.46,28.66,6/12/2018 13:54,92,6/12/2018 0:00,29.03,6/12/2018 14:26,9.05,6/12/2018 11:41,24.74,6/12/2018 0:00,71.34,6/12/2018 14:57,24.66,6/12/2018 0:00,0,6/12/2018 0:00,0.1,0.8609577,346.7,14977.98,774.9,1.095,1.189,0.141,491.6,2.583,140.5,22.75,1.467,0,0.044,0.92,1.544,0.075,0.001,0,0,12.68,
6/13/2018 0:00,89,0,26.74,26.96,86.8,25.73,28.84,6/13/2018 15:38,90.7,6/13/2018 6:10,29.29,6/13/2018 15:39,8.91,6/13/2018 11:30,25.42,6/13/2018 6:07,65.78,6/13/2018 15:29,25.51,6/13/2018 6:07,0,6/13/2018 3:42,0.099,0.8461234,345.7,14936.21,775.5,0.975,1.041,0.139,488.7,2.294,130.9,25.57,1.337,0.002,0.113,1.077,1.058,0.044,0.001,0,0,12.68,
6/14/2018 0:00,90,0,26.51,26.68,94.3,23.5,29.21,6/14/2018 13:15,95.1,6/14/2018 23:54,29.59,6/14/2018 13:06,6.635,6/14/2018 11:01,23.33,6/14/2018 23:51,61.85,6/14/2018 10:52,23.2,6/14/2018 23:59,0,6/14/2018 1:21,0.121,1.036119,419.6,18126.78,774.5,1.416,1.548,0.157,549.9,1.765,130.6,29.42,1.204,0.004,0.156,0.773,0.789,0.04,0.003,0,0,12.66,
6/15/2018 0:00,91,0,24.87,25,96.3,21.92,28.48,6/15/2018 13:17,98.3,6/15/2018 4:53,29.07,6/15/2018 13:17,7.076,6/15/2018 10:56,21.79,6/15/2018 5:25,63.18,6/15/2018 17:49,21.72,6/15/2018 5:20,0,6/15/2018 0:00,0.12,1.029222,420.9,18182.97,774.3,2.34,2.513,0.167,578.2,1.259,155.8,48.83,1.391,0.002,0.072,0.446,0.611,0.045,0.059,0.024,0,12.65,
6/16/2018 0:00,92,0,25.89,26.02,89.3,24.66,29.12,6/16/2018 12:06,96.4,6/16/2018 0:01,29.65,6/16/2018 12:05,6.831,6/16/2018 15:26,22.53,6/16/2018 6:22,62.55,6/16/2018 12:06,22.5,6/16/2018 6:18,0,6/16/2018 0:01,0.107,0.920739,377.1,16289.68,774.2,2.07,2.233,0.146,510.2,1.45,154.3,53.52,1.435,0.003,0.03,0.401,0.86,0.078,0.017,0.048,0.014,12.67,
6/17/2018 0:00,93,0,26.91,27.05,92.6,24.28,30.44,6/17/2018 13:00,93.4,6/17/2018 5:32,30.72,6/17/2018 13:48,6.997,6/17/2018 9:26,24.59,6/17/2018 23:58,64.83,6/17/2018 9:58,24.43,6/17/2018 23:53,0,6/17/2018 0:00,0.111,0.9564685,393.1,16981.27,774.2,1.798,1.967,0.154,538.9,1.143,182.8,60.1,1.072,0.008,0.012,0.137,0.616,0.181,0.11,0.068,0.011,12.67,
6/18/2018 0:00,94,29.9,25.67,25.78,98.7,23.24,29.66,6/18/2018 9:38,99.5,6/18/2018 22:33,29.8,6/18/2018 9:38,8.01,6/18/2018 18:09,22.72,6/18/2018 21:13,66.29,6/18/2018 9:44,22.76,6/18/2018 21:01,0,6/18/2018 0:02,0.094,0.8084347,323.8,13989.02,773.5,1.854,1.972,0.13,445,1.248,175.7,71.75,1.278,0.007,0.029,0.326,0.616,0.09,0.059,0.099,0.022,12.66,
6/19/2018 0:00,95,58.9,25.44,25.51,89.9,24.95,28.16,6/19/2018 11:04,98.8,6/19/2018 0:01,28.44,6/19/2018 13:33,8.1,6/19/2018 14:19,23.79,6/19/2018 12:09,78.04,6/19/2018 13:33,23.69,6/19/2018 12:09,0,6/19/2018 0:00,0.056,0.4835855,201.8,8715.795,772.6,0.92,0.963,0.091,317.4,1.518,156.6,52.05,1.17,0.017,0.048,0.297,0.883,0.163,0.069,0.034,0.008,12.68,
6/20/2018 0:00,96,3.3,26.08,26.2,88.1,24.84,28.87,6/20/2018 12:27,96.8,6/20/2018 5:58,29.22,6/20/2018 15:14,7.517,6/20/2018 13:45,23.96,6/20/2018 5:48,70.88,6/20/2018 11:54,24.01,6/20/2018 5:49,0,6/20/2018 0:00,0.097,0.8301142,348.6,15061.26,774,1.244,1.344,0.136,487.6,1.453,164.3,48.22,1.1,0.007,0.018,0.226,0.902,0.198,0.066,0.03,0.007,12.68,
6/21/2018 0:00,97,0,25.75,25.81,83.2,24.45,28.52,6/21/2018 11:09,97.5,6/21/2018 2:51,28.79,6/21/2018 11:09,6.821,6/21/2018 10:51,22.81,6/21/2018 2:49,69.25,6/21/2018 12:27,22.68,6/21/2018 2:40,0,6/21/2018 0:00,0.081,0.6935499,287.6,12424.36,773.5,1.557,1.706,0.119,422.9,1.465,159.1,54.82,1.288,0.003,0.03,0.398,0.815,0.091,0.056,0.067,0.005,12.67,
6/22/2018 0:00,98,7.2,25.18,25.25,88.6,23.96,28.33,6/22/2018 12:23,95.6,6/22/2018 21:27,28.72,6/22/2018 12:22,8.85,6/22/2018 13:03,22.8,6/22/2018 21:29,70.8,6/22/2018 11:18,22.94,6/22/2018 21:28,0,6/22/2018 0:15,0.075,0.6455063,267.5,11556.94,774,1.321,1.44,0.128,458.9,1.775,139.3,40.99,1.605,0.003,0.047,0.584,1.016,0.07,0.025,0.024,0.005,12.67,
6/23/2018 0:00,99,73.7,23.56,23.64,100,22.22,25.69,6/23/2018 2:05,100,6/23/2018 23:47,25.83,6/23/2018 2:05,6.791,6/23/2018 5:24,21.08,6/23/2018 9:19,82.6,6/23/2018 15:41,21.13,6/23/2018 9:20,0,6/23/2018 0:03,0.025,0.2183398,95.3,4118.274,774,1.307,1.358,0.047,168.6,1.027,138.7,66.14,0.982,0.044,0.115,0.227,0.437,0.064,0.058,0.066,0.016,12.68,
6/24/2018 0:00,100,5.9,26.13,26.26,86.5,25.31,28.65,6/24/2018 15:29,100,6/24/2018 0:02,29.09,6/24/2018 15:28,9.88,6/24/2018 12:44,22.92,6/24/2018 0:01,69.03,6/24/2018 14:43,22.54,6/24/2018 0:01,0,6/24/2018 0:00,0.096,0.823267,334.5,14451.54,774.9,1.096,1.188,0.142,498.4,2.399,131.3,27.17,1.504,0.003,0.118,1.066,1.158,0.052,0.003,0,0,12.68,
6/25/2018 0:00,101,3,26.18,26.29,85.7,25.49,28.38,6/25/2018 11:20,97.1,6/25/2018 3:21,28.74,6/25/2018 11:20,6.341,6/25/2018 14:37,23.36,6/25/2018 3:20,68.94,6/25/2018 11:23,23.31,6/25/2018 3:19,0,6/25/2018 0:16,0.092,0.7916097,318,13737.97,774.9,1.285,1.414,0.126,437.6,1.849,120.3,32.32,1.174,0.013,0.349,0.975,0.492,0.019,0.001,0,0.001,12.68,
6/26/2018 0:00,102,0,26.42,26.57,85.6,25.34,28.59,6/26/2018 13:15,88.7,6/26/2018 21:57,28.9,6/26/2018 13:15,6.262,6/26/2018 17:45,25.22,6/26/2018 6:01,71.48,6/26/2018 11:10,25.25,6/26/2018 5:59,0,6/26/2018 0:07,0.073,0.6299597,254.6,10996.76,773.9,0.815,0.854,0.097,341.4,1.672,107.5,33.08,1.012,0.07,0.394,0.889,0.31,0.008,0,0,0.001,12.68,
6/27/2018 0:00,103,0,26.16,26.25,92.5,24.69,28.63,6/27/2018 12:29,96.1,6/27/2018 3:40,29.04,6/27/2018 12:29,6.35,6/27/2018 12:20,23.35,6/27/2018 3:38,69.36,6/27/2018 11:37,23.29,6/27/2018 3:41,0,6/27/2018 0:00,0.095,0.8187308,340.3,14702.06,773.5,1.272,1.409,0.135,483.3,1.342,114.3,39.72,1.164,0.099,0.4,0.549,0.265,0.023,0.004,0,0.002,12.67,
6/28/2018 0:00,104,1.6,25.82,25.92,85.5,25.25,28.29,6/28/2018 15:22,98,6/28/2018 6:10,28.64,6/28/2018 15:21,7.811,6/28/2018 14:54,22.88,6/28/2018 6:21,71.38,6/28/2018 11:47,22.88,6/28/2018 6:05,0,6/28/2018 0:05,0.095,0.8154823,348.1,15039.88,774.2,1.492,1.601,0.126,462.5,1.587,145.2,35.97,1.318,0.001,0.057,0.541,0.887,0.061,0.037,0.002,0,12.68,
6/29/2018 0:00,105,0.5,26.31,26.38,86.7,25.4,28.3,6/29/2018 12:09,93.9,6/29/2018 18:57,28.67,6/29/2018 11:56,6.88,6/29/2018 12:12,24.02,6/29/2018 5:01,73.53,6/29/2018 11:56,23.76,6/29/2018 5:04,0,6/29/2018 0:56,0.077,0.6634265,277.5,11989.15,774.1,1.123,1.266,0.1,359,1.691,134.4,26.16,1.052,0.003,0.075,0.711,0.863,0.036,0.001,0,0,12.68,
6/30/2018 0:00,106,0,26.29,26.44,93.5,23.52,28.71,6/30/2018 14:03,96.3,6/30/2018 23:35,29.1,6/30/2018 14:23,6.468,6/30/2018 10:16,23.49,6/30/2018 23:12,67.81,6/30/2018 14:02,23.49,6/30/2018 23:12,0,6/30/2018 0:19,0.098,0.8419424,344.1,14865.41,774.2,1.271,1.373,0.131,461.6,1.575,123.6,36.52,1.197,0.039,0.185,0.685,0.627,0.031,0.006,0,0.001,12.66,
7/1/2018 0:00,107,0,25.55,25.63,98.3,23.04,29.13,7/1/2018 13:59,99.3,7/1/2018 4:58,29.47,7/1/2018 13:59,7.046,7/1/2018 12:03,22.17,7/1/2018 4:54,64.27,7/1/2018 12:13,22.08,7/1/2018 5:37,0,7/1/2018 0:03,0.117,1.001854,410.8,17747.36,772.6,2.259,2.42,0.155,547.1,1.248,145.5,65.96,1.31,0.051,0.242,0.413,0.39,0.039,0.077,0.034,0.002,12.66,
7/2/2018 0:00,108,0,25.88,25.94,92.8,24.48,28.72,7/2/2018 11:40,99.9,7/2/2018 5:50,29.02,7/2/2018 11:40,6.272,7/2/2018 11:44,22.8,7/2/2018 5:47,72.97,7/2/2018 12:48,22.72,7/2/2018 5:47,0,7/2/2018 0:04,0.076,0.6491699,261.9,11314.08,772.6,1.837,1.949,0.107,374.2,1.29,141.4,37.84,1.122,0.002,0.074,0.44,0.7,0.036,0.017,0.02,0.001,12.67,
7/3/2018 0:00,109,0,26.74,26.92,84.1,25.61,29.62,7/3/2018 14:43,93.4,7/3/2018 0:24,30.09,7/3/2018 14:42,8.01,7/3/2018 9:50,24.79,7/3/2018 0:23,55.26,7/3/2018 14:44,24.49,7/3/2018 0:24,0,7/3/2018 0:10,0.123,1.054871,429.3,18544.62,774,1.204,1.314,0.159,555.7,2.285,134.2,27.3,1.37,0.002,0.097,0.923,1.195,0.066,0.002,0,0,12.68,
