TIMESTAMP,RECORD,Rain_mm_Tot,PanLevel,AirTC_Avg,RH,T107_C_Avg,PTemp_C,AirTC_Max,AirTC_TMx,RH_Max,RH_TMx,T107_C_Max,T107_C_TMx,WS_ms_Max,WS_ms_TMx,AirTC_Min,AirTC_TMn,RH_Min,RH_TMn,T107_C_Min,T107_C_TMn,WS_ms_Min,WS_ms_TMn,SlrkW_2_Avg,SlrMJ_2_Tot,PAR_Den_Avg,PAR_Tot_Tot,BP_mmHg,AirTC_Std,T107_C_Std,SlrkW_2_Std,PAR_Den_Std,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Std,WindDir_Hst(1),WindDir_Hst(2),WindDir_Hst(3),WindDir_Hst(4),WindDir_Hst(5),WindDir_Hst(6),WindDir_Hst(7),WindDir_Hst(8),BattV,Comentario
TS,RN,mm,inches,Deg C,%,Deg C,Deg C,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,kW/m^2,MJ/m^2,umol/s/m^2,mmol/m^2,mmHg,Deg C,Deg C,kW/m^2,umol/s/m^2,meters/second,Deg,Deg,meters/second,degrees,degrees,degrees,degrees,degrees,degrees,degrees,degrees,Volts,
,,Tot,Smp,Avg,Smp,Avg,Smp,Max,TMx,Max,TMx,Max,TMx,Max,TMx,Min,TMn,Min,TMn,Min,TMn,Min,TMn,Avg,Tot,Avg,Tot,Smp,Std,Std,Std,Std,WVc,WVc,WVc,Std,"Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02",Smp,
1/8/2014 0:00,0,2.8,9.76,23.52,100,25.91,21.86,27.46,1/8/2014 12:57,100,1/8/2014 20:08,26.88,1/8/2014 14:02,2.757,1/8/2014 14:35,21.84,1/8/2014 19:07,71.02,1/8/2014 13:03,24.46,1/8/2014 23:58,0,1/8/2014 12:48,32.15,0.1287348,133.9,5395.622,766.1,1.65,0.762,69.79,274.7,0.394,169.8,47.28,0.394,0.015,0.017,0.037,0.152,0.083,0.043,0.028,0.02,12.4,"Cambio de Multiplicador Pyranometer irr, PFD"
1/9/2014 0:00,1,6.5,9.76,22.83,100,24.57,21.84,27.66,1/9/2014 12:50,100,1/9/2014 0:00,26.6,1/9/2014 14:52,3.396,1/9/2014 15:00,20.41,1/9/2014 7:04,69.07,1/9/2014 12:50,22.93,1/9/2014 7:47,0,1/9/2014 0:00,44.51,0.3820877,182.6,15773.55,766.2,1.694,1.142,88.2,352.5,0.462,171.2,54.93,0.435,0.023,0.029,0.046,0.148,0.119,0.049,0.022,0.025,12.39,
1/10/2014 0:00,2,1.3,9.75,22.23,99.8,24.03,19.44,26.14,1/10/2014 12:10,100,1/10/2014 0:00,25.78,1/10/2014 14:47,3.715,1/10/2014 13:39,19.3,1/10/2014 23:54,76.42,1/10/2014 14:06,22.32,1/10/2014 7:47,0,1/10/2014 0:00,42.14,0.3617064,172.1,14865.08,765.9,2.09,1.11,80.5,320.8,0.563,166.5,55.8,0.476,0.023,0.034,0.062,0.195,0.125,0.066,0.025,0.033,12.39,
1/11/2014 0:00,3,8.2,9.78,21.78,100,23.71,21.7,27.43,1/11/2014 13:15,100,1/11/2014 0:09,26.12,1/11/2014 15:47,2.597,1/11/2014 13:07,19,1/11/2014 0:33,71.91,1/11/2014 13:42,21.72,1/11/2014 7:11,0,1/11/2014 0:04,46.91,0.4026839,189.1,16334.59,765.8,1.996,1.469,95.5,374.1,0.391,167.8,46.85,0.384,0.014,0.021,0.041,0.151,0.089,0.033,0.017,0.025,12.41,
1/12/2014 0:00,4,7.5,9.78,22.68,100,24.89,20.66,27.83,1/12/2014 13:56,100,1/12/2014 0:00,28,1/12/2014 15:02,2.916,1/12/2014 3:39,20.58,1/12/2014 22:20,72.82,1/12/2014 13:52,22.75,1/12/2014 7:27,0,1/12/2014 0:00,61.48,0.5277182,245.6,21212.03,766.3,1.827,1.748,123.4,480.8,0.366,159.4,49.86,0.418,0.024,0.025,0.046,0.139,0.063,0.029,0.021,0.02,12.39,
1/13/2014 0:00,5,6.4,9.77,22.26,100,24.68,20.34,26.8,1/13/2014 14:10,100,1/13/2014 0:00,27.09,1/13/2014 15:00,2.916,1/13/2014 14:45,20.21,1/13/2014 23:06,74.14,1/13/2014 14:42,23.08,1/13/2014 8:16,0,1/13/2014 0:00,47.52,0.407872,194.4,16790.95,765.9,1.657,1.185,92.3,367.9,0.283,163.4,45.42,0.396,0.018,0.026,0.029,0.1,0.052,0.027,0.013,0.019,12.38,
1/14/2014 0:00,6,6.3,9.79,20.88,100,23.31,20.42,26.88,1/14/2014 10:56,100,1/14/2014 0:00,24.47,1/14/2014 15:51,2.916,1/14/2014 10:57,17.29,1/14/2014 6:17,68.4,1/14/2014 10:57,21.45,1/14/2014 8:25,0,1/14/2014 0:00,35.74,0.3067952,148.3,12811.5,765.6,2.099,0.926,70.75,283.2,0.274,165.2,44.15,0.331,0.014,0.01,0.03,0.112,0.049,0.019,0.011,0.029,12.4,
1/15/2014 0:00,7,0.1,9.76,20.52,100,23.33,18.43,27.26,1/15/2014 13:39,100,1/15/2014 0:00,27.09,1/15/2014 15:01,2.916,1/15/2014 12:01,17.09,1/15/2014 7:23,59.73,1/15/2014 14:47,20.68,1/15/2014 8:24,0,1/15/2014 0:00,67.51,0.579423,270.5,23368.42,764,3.011,1.908,129.4,503.2,0.361,166.6,42.26,0.402,0.015,0.02,0.043,0.139,0.082,0.033,0.015,0.014,12.37,
1/16/2014 0:00,8,15.8,9.79,20.73,100,22.59,19.73,24.13,1/16/2014 10:35,100,1/16/2014 0:00,23.71,1/16/2014 14:32,2.836,1/16/2014 7:37,18.79,1/16/2014 0:00,87.1,1/16/2014 10:41,21.59,1/16/2014 8:07,0,1/16/2014 0:00,25.24,0.2166654,109,9412.48,764.3,1.23,0.629,53.48,217.2,0.213,169.4,41.47,0.326,0.015,0.016,0.021,0.077,0.039,0.019,0.011,0.015,12.39,
1/17/2014 0:00,9,19.4,9.78,21.83,100,23.48,20.53,26.73,1/17/2014 13:28,100,1/17/2014 0:00,26.64,1/17/2014 15:01,2.117,1/17/2014 12:31,18.96,1/17/2014 4:38,76.57,1/17/2014 13:52,20.97,1/17/2014 7:11,0,1/17/2014 0:00,57.44,0.4930189,232.6,20093.34,765.1,2.198,2.003,116.9,459.1,0.276,167,40.32,0.381,0.014,0.014,0.028,0.113,0.055,0.023,0.013,0.015,12.4,
